crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	42.157593	10405	0.000000
281474976710655.000000	43.251545	10406	0.000000
281474976710655.000000	42.387112	10407	0.000000
281474976710655.000000	32.379150	10408	0.000000
281474976710655.000000	35.689407	10409	0.000000
281474976710655.000000	35.489273	10410	0.000000
281474976710655.000000	40.415504	10411	0.000000
281474976710655.000000	43.845978	10412	0.000000
281474976710655.000000	36.297432	10413	0.000000
281474976710655.000000	34.440601	10414	0.000000
281474976710655.000000	38.800522	10415	0.000000
281474976710655.000000	49.168167	10416	0.000000
281474976710655.000000	33.068855	10417	0.000000
281474976710655.000000	28.111769	10418	0.000000
281474976710655.000000	36.534859	10419	0.000000
281474976710655.000000	42.935143	10420	0.000000
281474976710655.000000	36.025822	10421	0.000000
281474976710655.000000	35.786465	10422	0.000000
281474976710655.000000	32.023262	10423	0.000000
281474976710655.000000	43.680592	10424	0.000000
281474976710655.000000	38.356895	10425	0.000000
281474976710655.000000	36.060585	10426	0.000000
281474976710655.000000	39.139561	10427	0.000000
281474976710655.000000	33.636883	10428	0.000000
281474976710655.000000	36.683361	10429	0.000000
281474976710655.000000	41.243816	10430	0.000000
281474976710655.000000	41.154083	10431	0.000000
281474976710655.000000	38.871315	10432	0.000000
281474976710655.000000	30.479572	10433	0.000000
281474976710655.000000	30.287912	10434	0.000000
281474976710655.000000	39.792854	10435	0.000000
281474976710655.000000	32.414032	10436	0.000000
281474976710655.000000	27.537010	10437	0.000000
281474976710655.000000	32.451679	10438	0.000000
281474976710655.000000	27.366047	10439	0.000000
281474976710655.000000	26.465582	10440	0.000000
281474976710655.000000	28.191935	10441	0.000000
281474976710655.000000	29.986521	10442	0.000000
281474976710655.000000	26.071899	10443	0.000000
281474976710655.000000	27.196341	10444	0.000000
281474976710655.000000	30.321836	10445	0.000000
281474976710655.000000	29.492241	10446	0.000000
281474976710655.000000	26.348993	10447	0.000000
281474976710655.000000	31.118511	10448	0.000000
281474976710655.000000	25.803244	10449	0.000000
281474976710655.000000	28.433964	10450	0.000000
281474976710655.000000	24.994524	10451	0.000000
281474976710655.000000	26.767456	10452	0.000000
281474976710655.000000	27.194349	10453	0.000000
281474976710655.000000	22.562704	10454	0.000000
281474976710655.000000	28.725731	10455	0.000000
281474976710655.000000	27.431969	10456	0.000000
281474976710655.000000	28.214727	10457	0.000000
281474976710655.000000	27.348253	10458	0.000000
281474976710655.000000	26.194460	10459	0.000000
281474976710655.000000	25.081669	10460	0.000000
281474976710655.000000	21.906406	10461	0.000000
281474976710655.000000	26.111406	10462	0.000000
281474976710655.000000	25.369755	10463	0.000000
281474976710655.000000	23.025307	10464	0.000000
281474976710655.000000	24.538763	10465	0.000000
281474976710655.000000	21.805334	10466	0.000000
281474976710655.000000	23.568274	10467	0.000000
281474976710655.000000	23.328728	10468	0.000000
281474976710655.000000	20.536261	10469	0.000000
281474976710655.000000	23.369053	10470	0.000000
281474976710655.000000	22.391489	10471	0.000000
281474976710655.000000	21.862938	10472	0.000000
281474976710655.000000	20.576508	10473	0.000000
281474976710655.000000	24.210873	10474	0.000000
281474976710655.000000	22.651978	10475	0.000000
281474976710655.000000	24.676760	10476	0.000000
281474976710655.000000	19.648417	10477	0.000000
281474976710655.000000	21.321760	10478	0.000000
281474976710655.000000	22.384655	10479	0.000000
281474976710655.000000	21.756424	10480	0.000000
281474976710655.000000	22.113060	10481	0.000000
281474976710655.000000	20.717981	10482	0.000000
281474976710655.000000	20.991039	10483	0.000000
281474976710655.000000	19.901648	10484	0.000000
281474976710655.000000	18.911400	10485	0.000000
281474976710655.000000	19.222622	10486	0.000000
281474976710655.000000	19.387661	10487	0.000000
281474976710655.000000	18.619431	10488	0.000000
281474976710655.000000	18.773659	10489	0.000000
281474976710655.000000	17.951382	10490	0.000000
281474976710655.000000	18.790359	10491	0.000000
281474976710655.000000	18.382456	10492	0.000000
281474976710655.000000	17.639507	10493	0.000000
281474976710655.000000	18.142279	10494	0.000000
281474976710655.000000	17.761503	10495	0.000000
281474976710655.000000	17.603876	10496	0.000000
281474976710655.000000	17.756010	10497	0.000000
281474976710655.000000	16.933599	10498	0.000000
281474976710655.000000	17.352560	10499	0.000000
281474976710655.000000	17.277733	10500	0.000000
281474976710655.000000	16.842730	10501	0.000000
281474976710655.000000	16.470652	10502	0.000000
281474976710655.000000	17.038441	10503	0.000000
281474976710655.000000	16.929964	10504	0.000000
281474976710655.000000	16.633785	10505	0.000000
281474976710655.000000	16.284224	10506	0.000000
281474976710655.000000	15.789081	10507	0.000000
281474976710655.000000	15.898157	10508	0.000000
281474976710655.000000	16.191010	10509	0.000000
281474976710655.000000	15.681825	10510	0.000000
281474976710655.000000	14.897656	10511	0.000000
281474976710655.000000	15.285933	10512	0.000000
281474976710655.000000	13.992218	10513	0.000000
281474976710655.000000	15.440791	10514	0.000000
281474976710655.000000	14.115852	10515	0.000000
281474976710655.000000	14.120358	10516	0.000000
281474976710655.000000	13.924554	10517	0.000000
281474976710655.000000	14.378072	10518	0.000000
281474976710655.000000	14.436167	10519	0.000000
281474976710655.000000	14.369152	10520	0.000000
281474976710655.000000	13.545906	10521	0.000000
281474976710655.000000	13.244904	10522	0.000000
281474976710655.000000	14.058857	10523	0.000000
281474976710655.000000	14.612582	10524	0.000000
281474976710655.000000	13.227984	10525	0.000000
281474976710655.000000	13.208640	10526	0.000000
281474976710655.000000	12.925257	10527	0.000000
281474976710655.000000	13.201940	10528	0.000000
281474976710655.000000	12.577659	10529	0.000000
281474976710655.000000	12.707582	10530	0.000000
281474976710655.000000	12.510125	10531	0.000000
281474976710655.000000	11.792951	10532	0.000000
281474976710655.000000	12.341013	10533	0.000000
281474976710655.000000	11.756786	10534	0.000000
281474976710655.000000	11.537509	10535	0.000000
281474976710655.000000	12.143916	10536	0.000000
281474976710655.000000	11.516837	10537	0.000000
281474976710655.000000	11.736311	10538	0.000000
281474976710655.000000	11.298734	10539	0.000000
281474976710655.000000	11.306589	10540	0.000000
281474976710655.000000	10.480979	10541	0.000000
281474976710655.000000	10.600590	10542	0.000000
281474976710655.000000	11.506969	10543	0.000000
281474976710655.000000	10.984459	10544	0.000000
281474976710655.000000	10.822514	10545	0.000000
281474976710655.000000	10.473701	10546	0.000000
281474976710655.000000	10.407700	10547	0.000000
281474976710655.000000	9.752041	10548	0.000000
281474976710655.000000	10.134355	10549	0.000000
281474976710655.000000	10.215661	10550	0.000000
281474976710655.000000	10.264133	10551	0.000000
281474976710655.000000	9.938500	10552	0.000000
281474976710655.000000	9.876443	10553	0.000000
281474976710655.000000	9.793513	10554	0.000000
281474976710655.000000	9.665957	10555	0.000000
281474976710655.000000	9.325543	10556	0.000000
281474976710655.000000	9.551159	10557	0.000000
281474976710655.000000	8.734249	10558	0.000000
281474976710655.000000	9.340021	10559	0.000000
281474976710655.000000	9.569508	10560	0.000000
281474976710655.000000	8.668055	10561	0.000000
281474976710655.000000	8.956568	10562	0.000000
281474976710655.000000	9.188065	10563	0.000000
281474976710655.000000	8.870965	10564	0.000000
281474976710655.000000	9.037514	10565	0.000000
281474976710655.000000	9.246052	10566	0.000000
281474976710655.000000	8.426559	10567	0.000000
281474976710655.000000	8.346426	10568	0.000000
281474976710655.000000	8.088839	10569	0.000000
