crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	-132.202271	673	0.000000
281474976710655.000000	Inf	674	0.000000
281474976710655.000000	Inf	675	0.000000
281474976710655.000000	Inf	676	0.000000
281474976710655.000000	-45.244854	677	0.000000
281474976710655.000000	-93.253983	678	0.000000
281474976710655.000000	-90.166252	679	0.000000
281474976710655.000000	-49.884392	680	0.000000
281474976710655.000000	-134.432571	681	0.000000
281474976710655.000000	-62.021431	682	0.000000
281474976710655.000000	-57.676109	683	0.000000
281474976710655.000000	-45.257904	684	0.000000
281474976710655.000000	-36.252541	685	0.000000
281474976710655.000000	-57.978401	686	0.000000
281474976710655.000000	-40.080803	687	0.000000
281474976710655.000000	-35.253521	688	0.000000
281474976710655.000000	-28.555281	689	0.000000
281474976710655.000000	-29.519003	690	0.000000
281474976710655.000000	-25.569384	691	0.000000
281474976710655.000000	-22.945776	692	0.000000
281474976710655.000000	-20.427202	693	0.000000
281474976710655.000000	-18.263472	694	0.000000
281474976710655.000000	-17.498434	695	0.000000
281474976710655.000000	-15.966220	696	0.000000
281474976710655.000000	-13.837628	697	0.000000
281474976710655.000000	-13.105029	698	0.000000
281474976710655.000000	-11.578615	699	0.000000
281474976710655.000000	-10.482113	700	0.000000
281474976710655.000000	-8.869033	701	0.000000
281474976710655.000000	-7.997985	702	0.000000
281474976710655.000000	-6.817056	703	0.000000
281474976710655.000000	-6.301945	704	0.000000
281474976710655.000000	-6.110927	705	0.000000
281474976710655.000000	-5.946308	706	0.000000
281474976710655.000000	-5.007864	707	0.000000
281474976710655.000000	-4.332163	708	0.000000
281474976710655.000000	-3.744066	709	0.000000
281474976710655.000000	-3.172817	710	0.000000
281474976710655.000000	-2.948192	711	0.000000
281474976710655.000000	-2.722083	712	0.000000
281474976710655.000000	-2.420914	713	0.000000
281474976710655.000000	-2.216837	714	0.000000
281474976710655.000000	-1.992871	715	0.000000
